Date,Open,High,Low,Close,Volume,Adj Close
2013-06-05,2.48,2.51,2.45,2.47,36700,2.47
2013-06-04,2.49,2.53,2.47,2.51,10700,2.51
2013-06-03,2.60,2.60,2.42,2.50,44700,2.50
2013-05-31,2.49,2.60,2.40,2.60,198800,2.60
2013-05-30,2.51,2.53,2.46,2.50,416700,2.50
2013-05-29,2.52,2.54,2.49,2.51,73800,2.51
2013-05-28,2.50,2.56,2.50,2.52,80000,2.52
2013-05-27,2.49,2.49,2.49,2.49,300,2.49
2013-05-24,2.43,2.49,2.43,2.48,26500,2.48
2013-05-23,2.35,2.46,2.28,2.45,26100,2.45
2013-05-22,2.36,2.40,2.34,2.35,38100,2.35
2013-05-21,2.44,2.44,2.31,2.34,149400,2.34
2013-05-17,2.60,2.69,2.45,2.45,75300,2.45
2013-05-16,2.61,2.72,2.58,2.67,25000,2.67
2013-05-15,2.57,2.62,2.53,2.58,35300,2.58
2013-05-14,2.54,2.59,2.52,2.59,33900,2.59
2013-05-13,2.46,2.56,2.46,2.53,5200,2.53
2013-05-10,2.45,2.51,2.44,2.45,33600,2.45
2013-05-09,2.47,2.48,2.46,2.48,5800,2.48
2013-05-08,2.45,2.47,2.42,2.46,26700,2.46
2013-05-07,2.51,2.51,2.42,2.42,3200,2.42
2013-05-06,2.55,2.55,2.50,2.50,22100,2.50
2013-05-03,2.50,2.57,2.50,2.54,40500,2.54
2013-05-02,2.45,2.50,2.45,2.50,50700,2.50
2013-05-01,2.46,2.46,2.40,2.45,12400,2.45
2013-04-30,2.48,2.49,2.46,2.49,44200,2.49
2013-04-29,2.46,2.49,2.39,2.49,68100,2.49
2013-04-26,2.53,2.53,2.41,2.45,62300,2.45
2013-04-25,2.51,2.57,2.46,2.55,82200,2.55
2013-04-24,2.44,2.55,2.44,2.50,49800,2.50
2013-04-23,2.42,2.49,2.37,2.44,39200,2.44
2013-04-22,2.55,2.56,2.42,2.45,58300,2.45
